NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
COL3A1	18864.1934496294	18223.2237883545	19125.6822424812	24324.7769295707	24963.3231754486	25371.2402590183
COBLL1	555.598213173423	582.692898533024	634.890023614768	946.70307823556	960.040003226278	998.258829808979
EPDR1	1976.80910468594	1838.29677221853	1912.77074100207	2824.28430616194	2692.9065013208	2699.51683553977
SEL1L	1784.4507317217	1742.2848741648	1914.79590854151	2803.80498686874	2551.3548242696	2646.79189734564
NCAPG2	507.041730677594	447.779627991997	469.838869150323	255.060613015284	240.866160143573	243.70638098623
ENAH	4761.3366201198	5187.12556123077	4948.49688262419	6726.52550966584	6810.46213941495	7005.3867880609
ITGAV	1519.25763501371	1616.47618016335	1607.98302631619	2341.1585464724	2241.99591716577	2284.7473217459
ESPL1	254.9215331031	245.82356656862	231.881683266	107.050987214444	84.4743879176511	99.5915499222573
ITGB1	47894.4335325681	46634.4687244974	48916.9093314287	66345.5474847638	61499.6374956154	63981.1266659377
CALU	22249.1405466944	20650.0072805404	22452.0199260132	31033.6157543924	28870.8343895313	29418.1721817416
CEP55	232.510848874256	217.682148173559	222.768429338515	94.9495712684632	89.040571048335	80.8449052310089
PVR	8420.81459898811	8564.92345741439	8499.62816303407	11013.219388992	11369.7959954028	11285.4801041316
UHMK1	2411.01611161979	2547.62605352933	2522.34617037382	3745.85367435584	3383.54169983673	3519.68254078189
DCN	18566.3181050877	16902.2325013393	18712.5480644353	25472.5496881395	24091.182197488	24518.2679255665
PGRMC1	3237.41009255841	3175.84183476025	3099.51891911452	4341.61569015797	4239.70103683995	4474.58975474236
hsa-mir-6723	1394.131314736	1495.63361881985	1372.05100797131	1989.28660588927	2117.56742685463	2222.64906120614
TM9SF3	4055.40006691122	3952.2139069534	3881.23358933876	5721.17710799976	5214.58113524095	5470.50525396493
CMTM6	1358.64773137366	1442.66153713503	1339.64832734025	2251.79424410208	1988.57275341281	1985.97267197913
FAM64A	211.033943154947	217.682148173559	194.41608378634	78.1937645740285	75.3420216562834	87.874896990227
GNG12	3800.47853380812	3854.54663134701	3762.76128828146	5529.41620916345	5010.24444014285	5204.53723240785
TMTC1	2929.26318441181	2943.26128861283	3004.33604476079	3999.98340922144	3986.277873087	4073.88022446692
DEGS1	3313.04615183076	2929.1905794153	3210.90313378378	4581.7822527782	4327.60006210561	4466.38809768994
CANX	9284.55972030814	8857.92528423356	9324.88393535629	12970.8561377918	11874.3592313433	12301.3139133386
H2AFZ	1869.4245760894	1581.71325155768	1523.93857342939	1089.12743513825	947.482999616898	1034.58045389827
NDFIP1	2089.7963043397	1992.24688461504	1925.93433000843	2944.36758747205	2729.43596636627	2863.5499765882
LMNB2	3683.75622011622	3871.10040687351	3698.96851078907	2531.98856715902	2638.11230375259	2823.7133566193
DOT1L	1910.51083050895	2304.28555328969	1911.75815723235	1162.66680896383	1377.84575968385	1274.77183900489
KIF11	197.961044021455	195.334551212775	174.16440839193	77.2628864243377	51.3695602201932	71.4715828853846
PTPRG	1534.19809116627	1576.74711889973	1643.42345825641	2218.28263071321	2240.8543713831	2294.12064409153
SLC17A5	1146.68000970918	1051.99243470948	1097.64080637705	1642.0690560546	1581.04090899928	1627.443092259
GNS	5610.14128528727	5118.42739279577	5537.82063660154	7579.20989478263	7261.37272356998	7331.10973957134
NCAPD2	778.771276952327	782.993582403751	861.708788032165	488.711028587678	494.289323896526	497.957749611286
HIST1H2AC	1635.97994870561	1503.9105065831	1659.62479857194	2339.29679017302	2275.10074486323	2271.85900352067
WDR90	747.022807628131	946.875960116164	851.58295033496	438.443608504374	529.677243159326	466.322786694805
MYO1E	2656.59985962754	2579.90591580602	2707.64900023268	3637.87180899171	3616.4170395016	3584.12413190806
CDKN1A	13318.4828815	13656.0371205914	13186.8784330704	16959.669009217	18213.3629625152	18070.5938170703
SNRNP70	9591.77284994521	10177.2611936961	9524.36293799124	6721.87111891738	7272.78818139669	7411.95464480235
TMTC3	480.89593241061	528.893128071878	488.065377005292	881.541607757203	773.968040650912	816.65070936251
CCDC80	34655.3218243786	34501.3789523446	34795.4160789063	43695.4203464869	45048.8212215441	44683.7992868838
PLAU	2707.95767765198	2471.4786861074	2576.01311016901	1840.34610193874	1803.64233662012	1839.51451032875
ALDH1A1	652.71117816508	635.664980217844	710.833806343807	1059.33933434815	1006.84338031579	1054.49876388272
ARF4	7673.79179135998	7151.23102745075	7691.58631479709	10327.1621926699	10014.7811513723	9837.30180173261
LAPTM4A	6791.37109984925	6457.62783289013	6541.29115239458	8994.14468231267	8506.799172464	8819.12466193918
DDX39A	1108.39509081824	1029.6448377487	1091.56530375872	673.955780376151	692.918290081273	725.260816492674
SPAG5	318.418471751491	256.583520660849	230.869099496279	125.66855020826	100.456028875045	100.76321521546
SRGN	2693.01722149941	2405.26358400138	2501.08191120969	3752.36982140368	3415.50498175152	3627.47574775657
CD36	20578.6107931359	18826.6089062957	20678.9857452325	28894.4577664029	25972.4496473297	27438.0578362285
BUB1	252.120197574494	233.40823492374	236.944602114602	105.189230915062	107.30530357107	103.106545801866
PDE5A	3029.17748493207	3029.34092135067	3038.76389293129	4436.56526142643	3976.00396104296	4157.06846028434
THBS1	75105.6730789323	78658.5751693003	79393.655632477	99279.0855426752	102956.014139094	100021.551084863
GLS	5902.41395877177	6091.78939375434	5988.42041412717	9427.93390006858	7886.93981247367	8270.78530472017
SPARC	58268.7127735038	58768.3861854266	59908.506151745	73582.1942204603	78425.3368152777	78025.8785355624
TMEM30A	4275.77179516152	4227.83426946973	4217.41140088598	6429.57537991447	5612.98061339312	5710.69663907155
PHF19	533.187528944579	581.865209756699	506.291884860261	274.609054158791	310.500452886501	317.52129445802
PTMS	7352.57198407988	7700.81637493076	7337.18199539491	5180.33690302939	5681.47336035337	5634.53839501336
CDT1	289.471337955901	379.909148333321	346.303649244419	126.599428357951	178.08114209667	147.629826943581
SLC39A6	1564.0790034714	1528.74116987286	1575.58034568513	2375.60103801096	2164.37080394414	2144.14748656154
TMED2	4300.98381491897	4406.615045156	4149.5682883147	6625.05979134954	5680.3318145707	5887.61809834521
GIGYF1	1354.91261733552	1489.83979738557	1360.91258650438	813.587502829773	982.870918879697	898.667279886722
RTN3	3882.65104264721	3608.72306477839	3725.2956888018	5053.73747467144	4964.58260883601	5074.48238486231
SERPINB2	3243.01276361563	3024.37478869271	3274.69591127617	4657.18338290315	4249.97494888399	4335.1615848512
LIMCH1	1907.70949498034	1891.26885390335	2009.97878289524	2679.06731481017	2649.5277615793	2713.57681905821
PRKAR1A	3582.90814108643	3988.63221311171	3673.65391654606	5467.04737313416	5039.92463049229	5130.72231893605
COL16A1	1792.85473830752	2095.70798165571	1840.87729335191	1245.51496428631	1332.18392837701	1237.2785496224
STMN1	1433.35001213648	1298.64369005442	1385.21459697768	949.495712684632	894.971893614033	906.868936939143
ARHGAP11A	306.279351127534	303.761780911392	274.410201594262	156.387529148057	126.711581876477	120.681525199912
KDELR2	5007.85414663709	5086.97521929541	5157.08913918662	7284.12152133064	6541.05733470461	6833.15198996005
CDCA8	213.835278683553	247.47894412127	250.108191120969	109.843621663516	85.6159337003221	104.278211095069
MR1	1287.68056464899	1281.26222575159	1309.27081424864	1924.12513541092	1793.36842457608	1811.39454329188
FAM3C	3029.17748493207	2796.76037520325	3020.53738507632	4468.21511851592	3922.35130925742	4096.14186503778
RP4-555D20.2	744.221472099526	724.227679284654	771.588832527038	463.577318546026	439.49512632832	483.89776609285
RECK	4104.89032791658	3866.96196299189	4125.26627784141	5487.52669242736	5292.20624846257	5394.34700990674
CMPK1	1560.34388943326	1517.98121578063	1483.43522264057	2518.02539491366	2061.63168350376	2228.50738767216
SMC1A	3.73511403814066	5.79382143427723	5.06291884860261	50.2674200833041	35.3879192627998	99.5915499222573
MAN2A1	1284.87922912039	1360.72034827882	1406.47885614181	1921.33250096184	1908.66454862585	1920.35941555976
IMPAD1	2444.63213796306	2477.27250754168	2440.32688502646	3444.24915385602	3219.15910713211	3329.872763283
